id_diagnostico,sector,tamano_empresa,porcentaje_procesos_documentados,presupuesto_anual_tecnología,respuesta_texto,nivel_madurez,recomendacion_principal
DIAG_0403,Retail,Grande,0.9,374000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_0404,Servicios,Mediana,0.29,17000000,Estamos empezando a documentar nuestros procesos pero falta mucho. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
"DIAG_0405,Manufactura,Micro,0.48,25000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales."
DIAG_0406,Retail,Mediana,0.49,24000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0407,Retail,Pequeña,0.08,10000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_0408,Servicios,Grande,0.8,259000000,Nuestros procesos se auditan solos con inteligencia de negocios.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
"DIAG_0409,Tecnología,Micro,0.07,4000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0410,Manufactura,Grande,0.68,128000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0411,Tecnología,Mediana,0.97,466000000,Operamos con metodologías ágiles y sistemas integrados en la nube. Nos gustaría mejorar pronto.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_0412,Manufactura,Micro,0.59,80000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0413,Retail,Mediana,0.65,103000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0414,Servicios,Grande,0.9,425000000,El equipo es autónomo y la analítica nos guía en cada decisión.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0415,Retail,Pequeña,0.29,21000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
"DIAG_0416,Servicios,Micro,0.19,8000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto."",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios."
DIAG_0417,Servicios,Grande,0.71,103000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0418,Servicios,Grande,0.82,165000000,El equipo es autónomo y la analítica nos guía en cada decisión.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0419,Retail,Mediana,0.58,118000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
"DIAG_0420,Servicios,Grande,0.91,287000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling."
DIAG_0421,Manufactura,Micro,0.36,37000000,Hay guías básicas pero no siempre se cumplen los estándares. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
"DIAG_0422,Retail,Mediana,0.09,6000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
DIAG_0423,Tecnología,Grande,0.73,80000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
"DIAG_0424,Manufactura,Grande,0.38,23000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales."
DIAG_0425,Tecnología,Mediana,0.68,71000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0426,Manufactura,Mediana,0.79,115000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0427,Tecnología,Pequeña,0.78,85000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
"DIAG_0428,Retail,Pequeña,0.24,30000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital."
"DIAG_0429,Servicios,Grande,0.37,27000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes."
DIAG_0430,Servicios,Grande,0.39,15000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0431,Manufactura,Mediana,0.79,91000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0432,Tecnología,Grande,0.97,423000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_0433,Servicios,Pequeña,0.05,5000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0434,Retail,Grande,0.47,13000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0435,Servicios,Micro,0.48,20000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
"DIAG_0436,Tecnología,Grande,0.5,18000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs."
DIAG_0437,Manufactura,Pequeña,0.53,96000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0438,Manufactura,Pequeña,0.32,29000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0439,Retail,Grande,0.41,10000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
"DIAG_0440,Tecnología,Pequeña,0.1,8000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas. Nos gustaría mejorar pronto."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0441,Manufactura,Micro,0.71,111000000,Documentamos todo y tenemos claridad de los roles y responsabilidades. Nos gustaría mejorar pronto.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
"DIAG_0442,Servicios,Micro,0.02,6000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios."
DIAG_0443,Retail,Grande,0.69,136000000,Usamos un ERP pero nos falta integración con la parte de ventas. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0444,Tecnología,Pequeña,0.61,77000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0445,Retail,Grande,0.97,194000000,Nuestros procesos se auditan solos con inteligencia de negocios.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
DIAG_0446,Retail,Micro,0.61,104000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0447,Retail,Pequeña,0.39,25000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
"DIAG_0448,Manufactura,Micro,0.04,10000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas."
"DIAG_0449,Servicios,Mediana,0.16,4000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios."
DIAG_0450,Tecnología,Pequeña,0.39,14000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0451,Tecnología,Mediana,0.54,122000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0452,Retail,Grande,0.51,58000000,Tenemos procesos estandarizados en la mayoría de áreas clave. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0453,Retail,Micro,0.78,100000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0454,Servicios,Grande,0.22,44000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0455,Retail,Mediana,0.59,115000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0456,Retail,Mediana,0.12,2000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_0457,Servicios,Pequeña,0.27,37000000,Estamos empezando a documentar nuestros procesos pero falta mucho. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
"DIAG_0458,Tecnología,Mediana,0.02,3000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0459,Retail,Grande,0.36,26000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0460,Retail,Mediana,0.43,11000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0461,Servicios,Mediana,0.58,123000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0462,Servicios,Grande,0.81,440000000,Operamos con metodologías ágiles y sistemas integrados en la nube. Nos gustaría mejorar pronto.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0463,Retail,Mediana,0.77,136000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0464,Retail,Micro,0.76,51000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0465,Servicios,Mediana,0.48,21000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0466,Tecnología,Grande,0.6,103000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0467,Manufactura,Mediana,0.67,65000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
"DIAG_0468,Tecnología,Pequeña,0.16,1000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0469,Tecnología,Grande,0.95,309000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
"DIAG_0470,Servicios,Micro,0.04,10000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios."
DIAG_0471,Retail,Grande,0.92,402000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
"DIAG_0472,Retail,Pequeña,0,7000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas. Nos gustaría mejorar pronto."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
DIAG_0473,Manufactura,Micro,0.2,34000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
"DIAG_0474,Manufactura,Micro,0.11,4000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas."
DIAG_0475,Tecnología,Pequeña,0.53,79000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0476,Servicios,Mediana,0.19,2000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0477,Retail,Grande,0.68,57000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0478,Retail,Pequeña,0.58,90000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0479,Servicios,Mediana,0.64,79000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas. Nos gustaría mejorar pronto.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0480,Retail,Pequeña,0.25,20000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
"DIAG_0481,Manufactura,Grande,0.91,256000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado."
DIAG_0482,Servicios,Mediana,0.53,137000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0483,Tecnología,Pequeña,0.24,25000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
"DIAG_0484,Servicios,Micro,0.05,3000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto."",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios."
DIAG_0485,Servicios,Grande,0.82,202000000,El equipo es autónomo y la analítica nos guía en cada decisión.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
"DIAG_0486,Retail,Micro,0.01,4000000,""Todo es manual, dependemos de una sola persona para la contabilidad. Nos gustaría mejorar pronto."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
DIAG_0487,Servicios,Mediana,0.37,26000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0488,Tecnología,Micro,0.56,132000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0489,Retail,Micro,0.24,39000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0490,Servicios,Grande,0.51,137000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
"DIAG_0491,Manufactura,Pequeña,0.28,38000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales."
"DIAG_0492,Tecnología,Pequeña,0.1,9000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0493,Tecnología,Mediana,0.24,22000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0494,Retail,Micro,0.16,6000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas.
DIAG_0495,Servicios,Mediana,0.32,21000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
"DIAG_0496,Retail,Micro,0.01,8000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
"DIAG_0497,Retail,Pequeña,0.05,4000000,""Todo es manual, dependemos de una sola persona para la contabilidad."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
DIAG_0498,Tecnología,Pequeña,0.61,72000000,Documentamos todo y tenemos claridad de los roles y responsabilidades. Nos gustaría mejorar pronto.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
"DIAG_0499,Manufactura,Mediana,0.94,330000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado."
DIAG_0500,Retail,Pequeña,0.36,21000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
"DIAG_0501,Tecnología,Micro,0.12,1000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
"DIAG_0502,Tecnología,Mediana,0.44,31000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs."
DIAG_0503,Manufactura,Micro,0.24,19000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0504,Manufactura,Micro,0.41,35000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0505,Manufactura,Mediana,0.24,20000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0506,Servicios,Grande,0.83,437000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0507,Manufactura,Pequeña,0.61,143000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0508,Retail,Pequeña,0.78,123000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0509,Tecnología,Pequeña,0.48,49000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0510,Tecnología,Grande,0.87,189000000,El equipo es autónomo y la analítica nos guía en cada decisión.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_0511,Manufactura,Pequeña,0.45,50000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
"DIAG_0512,Manufactura,Grande,0.85,277000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado."
DIAG_0513,Manufactura,Mediana,0.72,56000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0514,Servicios,Pequeña,0.1,7000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0515,Servicios,Micro,0.16,10000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0516,Retail,Pequeña,0.22,12000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0517,Manufactura,Mediana,0.52,71000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0518,Retail,Micro,0.6,128000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
"DIAG_0519,Tecnología,Grande,0.38,37000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía. Nos gustaría mejorar pronto."",En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs."
DIAG_0520,Tecnología,Mediana,0.79,102000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0521,Manufactura,Mediana,0.27,13000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales.
DIAG_0522,Servicios,Pequeña,0.61,104000000,Tenemos procesos estandarizados en la mayoría de áreas clave. Nos gustaría mejorar pronto.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0523,Servicios,Pequeña,0.51,71000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
"DIAG_0524,Tecnología,Grande,0.86,353000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software."
DIAG_0525,Manufactura,Micro,0.04,7000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas.
"DIAG_0526,Servicios,Micro,0.09,5000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios."
"DIAG_0527,Manufactura,Micro,0.15,2000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas. Nos gustaría mejorar pronto."",Inicial,Estandarizar el registro diario de mermas e inventario en plantillas compartidas."
"DIAG_0528,Manufactura,Grande,0.37,34000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Implementar un sistema MRP básico para la planificación de materiales."
DIAG_0529,Servicios,Grande,0.9,190000000,El equipo es autónomo y la analítica nos guía en cada decisión.,Optimizado,Utilizar analítica avanzada para hiper-personalización y recomendaciones de up-selling.
DIAG_0530,Tecnología,Pequeña,0.78,107000000,Tenemos procesos estandarizados en la mayoría de áreas clave. Nos gustaría mejorar pronto.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
DIAG_0531,Retail,Pequeña,0.54,104000000,Usamos un ERP pero nos falta integración con la parte de ventas. Nos gustaría mejorar pronto.,Definido,Integrar el ERP de inventarios con el CRM para campañas de fidelización.
DIAG_0532,Servicios,Pequeña,0.75,83000000,Usamos un ERP pero nos falta integración con la parte de ventas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0533,Tecnología,Micro,0.11,9000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
"DIAG_0534,Manufactura,Grande,0.96,469000000,""Todo está automatizado, usamos datos para mejorar continuamente."",Optimizado,Implementar sensores IoT en maquinaria para mantenimiento predictivo automatizado."
DIAG_0535,Servicios,Micro,0.54,122000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0536,Tecnología,Micro,0.44,44000000,Estamos empezando a documentar nuestros procesos pero falta mucho.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0537,Servicios,Mediana,0.4,46000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Implementar un CRM para el seguimiento estructurado de ventas y clientes.
DIAG_0538,Tecnología,Pequeña,0.32,49000000,Intentamos usar software básico pero el equipo no se adapta del todo.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0539,Servicios,Micro,0.18,6000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Digitalizar la base de datos de clientes y centralizar la agenda de servicios.
DIAG_0540,Tecnología,Grande,0.98,160000000,Operamos con metodologías ágiles y sistemas integrados en la nube.,Optimizado,Aplicar MLOps y analítica predictiva para optimizar el ciclo de vida del software.
DIAG_0541,Manufactura,Mediana,0.75,139000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
"DIAG_0542,Retail,Pequeña,0.19,8000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
DIAG_0543,Manufactura,Mediana,0.68,61000000,Documentamos todo y tenemos claridad de los roles y responsabilidades. Nos gustaría mejorar pronto.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0544,Retail,Grande,0.95,341000000,Nuestros procesos se auditan solos con inteligencia de negocios.,Optimizado,Automatizar pronóstico de demanda con modelos predictivos en tiempo real.
"DIAG_0545,Retail,Micro,0.14,7000000,""El trabajo es muy empírico, no hay documentación de lo que hacemos. Nos gustaría mejorar pronto."",Inicial,Implementar un sistema POS básico para abandonar el registro manual de ventas."
"DIAG_0546,Tecnología,Pequeña,0.18,4000000,""No tenemos procesos definidos, usamos hojas de cálculo desordenadas."",Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados."
DIAG_0547,Retail,Micro,0.22,33000000,Hay guías básicas pero no siempre se cumplen los estándares.,En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital.
DIAG_0548,Manufactura,Mediana,0.65,131000000,Documentamos todo y tenemos claridad de los roles y responsabilidades.,Definido,Conectar los datos de producción en planta con el ERP financiero de la empresa.
DIAG_0549,Tecnología,Pequeña,0.35,38000000,Intentamos usar software básico pero el equipo no se adapta del todo. Nos gustaría mejorar pronto.,En Desarrollo,Integrar herramientas de tickets con repositorios y documentar APIs.
DIAG_0550,Servicios,Mediana,0.55,83000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Automatizar la facturación y las encuestas de satisfacción post-servicio.
DIAG_0551,Tecnología,Mediana,0.62,70000000,Tenemos procesos estandarizados en la mayoría de áreas clave.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
"DIAG_0552,Retail,Pequeña,0.4,27000000,""Tenemos algunos sistemas aislados, hay mucho desorden todavía."",En Desarrollo,Centralizar el inventario de todas las sucursales en un único sistema digital."
DIAG_0553,Tecnología,Micro,0.18,3000000,Perdemos mucha información porque todo se anota en cuadernos.,Inicial,Mapear flujos de trabajo de desarrollo y usar repositorios de código centralizados.
DIAG_0554,Tecnología,Pequeña,0.68,89000000,Las áreas se comunican bien gracias a nuestras herramientas tecnológicas.,Definido,Implementar CI/CD y pruebas automatizadas para garantizar calidad en entregas.
